Grant,Project,Data Collection (use in Sample Metadata),Collection title,Collection description,Archive URL,License
RF1 Regev,regev_cisi_proj,regev_cisi,Scaling up spatial RNA profiling with compressed sensing,Composite In Situ Imaging of 37 genes with 11 composite measurements and validation images in 12 coronal sections of bisected.,,
RF1 Ren,ren_pairedtag_proj,ren_pairedtag_mouse_dev_DNA,Single Cell Multi-omic Analysis of Histone Modifications and Transcriptome in Developmental Mouse Brain (DNA modality),,,
RF1 Ren,ren_pairedtag_proj,ren_pairedtag_mouse_dev_RNA,Single Cell Multi-omic Analysis of Histone Modifications and Transcriptome in Developmental Mouse Brain (RNA modality),,,
RF1 Ren,ren_pairedtag_proj,ren_pairedtag_mouse_adult_DNA,Single Cell Multi-omic Analysis of Histone Modifications and Transcriptome in Adult Mouse Brain (DNA modality),,,
RF1 Ren,ren_pairedtag_proj,ren_pairedtag_mouse_adult_RNA,Single Cell Multi-omic Analysis of Histone Modifications and Transcriptome in Adult Mouse Brain (RNA modality),,,
RF1 Ren,ren_pairedtag_proj,ren_pairedtag_human_DNA,Single Cell Multi-omic Analysis of Histone Modifications and Transcriptome in Human Brain (DNA modality),,,
RF1 Ren,ren_pairedtag_proj,ren_pairedtag_human_RNA,Single Cell Multi-omic Analysis of Histone Modifications and Transcriptome in Human Brain (RNA modality),,,
RF1 Shepherd,shepherd_rnafish_proj,shepherd_rnafish_rna,Human olfactory system - TempO-seq,,,
RF1 Tasic,tasic_stpt_proj,tasic_stpt,Imaging of enhancer virus labeling,Serial two photon tomography characterizating fluorescent reporter expression from enhancer viruses in mouse brain.,,
RF1 Tasic,zeng_sc_SSv4_proj,zeng_sc_SSv4,Transcriptomic cell types in the mouse brain: SMART-seq cells,Single cell characterization in mouse brain using SMART-seq v4.,http://data.nemoarchive.org/biccn/lab/tasic/transcriptome/scell/,CCBY4; AIBSTOU
RF1 Tasic,tasic_ATACseq_proj,tasic_ATACseq,Chromatin accessibility data from mouse V1,Single cell ATAC seq data from mouse V1.,http://data.nemoarchive.org/biccn/lab/tasic/chromatin/scell/,
RF1 Tasic,tasic_sc_SSv4_proj,tasic_sc_SSv4,Enhancer virus characterization in mouse VISp(V1) with SMART-seq v4,,,
RF1 Tilgner,tilgner_scisorseq,tilgner_sc_ONT,Long read sequencing data obtained from Oxford Nanopore Technologies (ONT),,,
RF1 Tilgner,tilgner_scisorseq,tilgner_10x_scRNA,Short read sequencing data obtained from Illumina,,,
RF1 Tilgner,tilgner_scisorseq,tilgner_sc_pb,Long read sequencing data obtained from Pacific Biosciences (PB),"Single-cell data for 3 brain regions across two replicates, and corresponding long-read PacBio sequencing data",,
U01 Chung,chung_lsfm_proj,chung_lsfm,Light sheet imaging of the human brain,,,
U01 Dong,dong_antero_proj,dong_antero,Cre-dependent anterograde pathway tracing,Fluorescent imaging of brain tissue sections marked by Cre-dependent anterograde tracer injections with nissl counterstain.,http://download.brainimagelibrary.org/biccn/dong/anterograde/triple/,CCBY4
U01 Dong,dong_viral_neuron_proj,dong_confocal,Confocal image stacks of viral sparse labeling,"Viral tracers are used to sparsely label connectionally-unique projection neurons to assess their morphological characteristics.  Following SHIELD-processing of 500-um thick sections, volumetric image stacks are acquired using a confocal microscope at 10x and 30x magnifications.",,
U01 Dong,dong_viral_neuron_proj,dong_lightsheet,Volumetric image stacks (15x) of viral sparse labeling,"Viral tracers are used to sparsely label connectionally-unique projection neurons to assess their morphological characteristics.  Following SHIELD-processing of whole brains, volumetric image stacks are acquired using a lightsheet microscope at 15x magnification.",,
U01 Dong,dong_retro_proj,dong_retro,Retrograde pathway tracing,Fluorescent imaging of brain tissue sections labeled by 3-5 retrograde tracers with nissl counterstain.,http://download.brainimagelibrary.org/biccn/dong/retrograde/,CCBY4
U01 Dong,dong_trio_proj,dong_trio,Tracing the relationship between input and output (TRIO),Fluorescent imaging of brain tissue sections labeled by Cre-dependent rabies viral tracers with nissl counterstain.,http://download.brainimagelibrary.org/biccn/dong/trio/,CCBY4
U01 Ecker,ecker_hu_DNAseq_proj,ecker_hu_DNAseq,DNA genome sequence of  individual human brain donors,DNA genome sequence of  individual human brain donors.,,CCBY4
U01 Ecker,ecker_hu_sn_ATACseq_proj,ecker_hu_sn_ATACseq,DNA methylation profiling of genomic DNA in individual human brain cell nuclei,DNA methylation profiling of genomic DNA in individual human brain cell nuclei.,,CCBY4
U01 Ecker,ecker_hu_sn_mCseq_proj,ecker_hu_sn_mCseq,Chromatin accessibility profiling of genomic DNA in individual human brain nuclei,Chromatin accessibility profiling of genomic DNA in individual human brain nuclei.,,CCBY4
U01 Ecker,ecker_hu_sn_m3Cseq_proj,ecker_hu_sn_m3Cseq,Single nucleus DNA methylation and chromatin confirmation of human brain cells,,,
U01 Feng,feng_fish_proj,feng_fish,A Molecular and Cellular Atlas of the Marmoset Brain - FISH,Fluorescent in situ hybridization of sparsely labeled GFP cells across 16 brain regions.,http://download.brainimagelibrary.org/biccn/feng/fish/,CCBY4
U01 Feng,feng_fish_proj,feng_morph,A Molecular and Cellular Atlas of the Marmoset Brain - Cell reconstructions,Fluorescent in situ hybridization of sparsely labeled GFP cells across 16 brain regions (cell reconstructions).,,
U01 Feng,feng_sn_dropseq_proj,feng_sn_10xv3,A Molecular and Cellular Atlas of the Marmoset Brain - 10x v3,Single nucleus RNA sequencing of cells from marmoset brain.,,
U01 Feng,feng_sn_dropseq_proj,feng_sn_dropseq,A Molecular and Cellular Atlas of the Marmoset Brain - Dropseq,Single nucleus RNA sequencing of cells from marmoset brain.,http://data.nemoarchive.org/biccn/grant/feng/feng/transcriptome/scell/,CCBY4
U01 Feng,feng_multiome_proj,feng_multiome_RNAseq,"Multiome RNAseq data from M1, brainstem, cerebellum and hippocampus",,,
U01 Feng,feng_multiome_proj,feng_multiome_ATACseq,"Multiome ATACseq data from M1, brainstem, cerebellum and hippocampus",,,
U01 Fischl,fischl_mri_proj,fischl_oct,Serial sectioning block-face polarization sensitive optical coherence tomography of ex vivo human brain blocks,Volumetric OCT data collected from ex vivo human brain area BA 44/45 after index matching with 60% v/v TDE. Serial sectioning was performed with a slice thickness of 500 um. Block-face OCT acquisition was performed with a 4x objective with 5 um isotropic resolution. Each image tile has FOV of 3x3 mm2 and was stitched with adjacent image tiles during post-processing. The focal plane depth was shifted three times for each slice to cover the whole thickness of the 500um slice.,,
U01 Fischl,fischl_mri_proj,fischl_lsfm,Light sheet fluorescence microscopy 3D optical reconstruction of subsequent sections of human brain blocks stained with different markers,"Volumetric LSFM data collected from ex vivo human brain area BA 44/45 500um-thick slices previously imaged with PSOCT and MRI. Each section was cleared with the SWITCH/TDE protocol and stained with different markers. Small dyes: DAPI, PI, Sytox Green. Antibodies: NeuN, Gad67, CR, and SST primary antibodies and alexa fluor 405, 488, 564 and 647 conjugated secondary antibodies. For each slice the specific markers and dye used in the acquisition are explicitated in the name of the file. LSFM acquisition was performed with a resolution of 0.55 x 0.55 x 3.3 um and FOV of 1.1 x 1.1 mm2. Image tiles were resliced and resemples to obtain an isotropic resolution of 3.3 um during post-processing. Finally, adjacent image tiles were stitched togheter to obtain the 3D reconstruction of the whole section in a single fused tile using the Zetastitcher tool.",,
U01 Fischl,fischl_mri_proj,fischl_mri,Multi-resolution structural and diffusion MRI for the ex vivo whole human hemisphere,Multi-resolution structural and diffusion MRI collected on ex vivo whole human hemispheres at field strengths of 3 T and 7 T. This dataset provides undistorted volumetric images of the human cerebral cortex to facilitate an MRI-based atlas coordinate system to which distorted histological cell typic can be registered.,,
U01 Fischl,fischl_mri_proj,fischl_stereology,Layer III and V neurons of Broca's Area and Hippocampus counted with different markers and stains,"Dataset is collected using the Stereology Cleared Tissue edition program and examinig human brain tissue from Broca's Area and Hippocampus. Layers III and V are outlined and neurons are counted using a different marker for each layer. Stains used are NeuN, Calretinin and Somatostatin.",,
U01 Kriegstein,kriegstein_sc_ATACseq_proj,kriegstein_sc_ATACseq,Single-Cell ATAC-seq of the Developing Human Brain,"Chromatin accessibility of >75,000 cells from eight distinct areas of developing human forebrain using single cell ATAC-seq (scATACseq).",,CCBY4
U01 Kriegstein,kriegstein_sc_10x_proj,kriegstein_sc_10xv2,Single-Cell Sequencing of the Developing Human Brain,Single-cell sequencing of a variety of cortical regions and sub-cortical structures from 20 intact first and second trimester brain samples.,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/scell/,CCBY4
U01 Kriegstein,kriegstein_sc_10x_proj,kriegstein_sc_10xv3,Single-Cell Sequencing of the Developing Human Brain - 10x v3,Single-cell sequencing of a variety of cortical regions and sub-cortical structures from 20 intact first and second trimester brain samples.,,
U01 Kriegstein,kriegstein_sn_10x_proj,kriegstein_sn_10xv2,Single-Nuclei Sequencing of Late Stages of Human Brain Development and Early Postnatal Life,Single-nucleus RNA sequencing (snRNA-seq) of more than 100 post-mortem human cortical tissue samples from over 50 individuals and three cortical areas.,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell/,CCBY4
U01 Kriegstein,kriegstein_sc_multiome_proj,kriegstein_sc_multiome,Single-Cell Multi-Omic Analysis of the Developing Human Brain,,,
U01 Kriegstein,kriegstein_spatial_proj,kriegstein_spatial,Spatial Transcriptomic Analysis of the Developing Human Brain,,,
U01 Lein,human_cortex,human_cortex_SS4_counts,Human multiple cortical areas gene counts and taxonomy,"Results of analysis of single cell RNAsequencing data from 5 cortical areas including motor cortex, visual cortex, anterior cingulage, medial temporal gyrus, somatosensory and auditory cortex.  Includes gene counts per cell and per cluster, and taxonomy information.",https://portal.brain-map.org/atlases-and-data/rnaseq/human-multiple-cortical-areas-smart-seq,AIBSTOU; CCBY4
U01 Lein,human_cortex,human_cortex_SS4_Open_GRU,Open access human cortex RNAseq files,"Single cell RNA sequencing data on human nuclei from human cortical areas M1C and DFC, profiled by SMART-seq v4 and consented for open access. This data is available under the Creative Commons - Attribution 4.0 International license (CCBY4).",,AIBSTOU; CCBY4
U01 Lein,human_cortex,human_cortex_SS4_restricted_GRU,Controlled Access General Research Use human cortex RNAseq,"Single cell RNA sequencing data on human nuclei from human cortical areas MTG, M1C, CgGr, V1C, S1C, and A1C, profiled by SMART-seq v4 and consented for general research use (controlled access) available under Allen Terms of Use.",,AIBSTOU; CCBY4
U01 Lein,human_cortex,human_cortex_SS4_restricted_limited,Controlled Access RS human cortex RNAseq,"Single cell RNA sequencing data on human nuclei from middle temporal gyrus (MTG), profiled by SMART-seq v4 and consented for use in the study of the brain in health and disease (controlled access) available under Allen Terms of Use.",,AIBSTOU; CCBY4
U01 Lein,HumanM110XProj,HumanM110X,Human - M1 - 10x,RNA sequencing data from single human nuclei from M1 profiled by 10x.,,
U01 Lein,HumanPSeqL23Proj,HumanPSeqL23_E,Human Patch-seq Data Ephys,Electrophysiological data from human cortex layers 2 and 3.,,
U01 Lein,HumanPSeqL23Proj,HumanPSeqL23_M,Human Patch-seq Data Morphology,Morphological data from human cortex layers 2 and 3.,,
U01 Lein,HumanPSeqL23Proj,HumanPSeqL23_T,Human Patch-seq Data Transcriptomics,Transcriptomic data from human cortex layers 2 and 3.,,
U01 Lein,lein_evo_10x_proj,lein_evo_10x_arcticgroundsquirrel,Arctic ground squirrel (Urocitellus parryii) motor cortex snRNA-seq,10x v3 snRNA-seq data from primary motor cortex of arctic ground squirrel (Urocitellus parryii),,
U01 Lein,lein_evo_10x_proj,lein_evo_10x_armadillo,Armadillo (Dasypus novemcinctus) motor cortex snRNA-seq,10x v3 snRNA-seq data from primary motor cortex of armadillo (Dasypus novemcinctus),,
U01 Lein,lein_evo_10x_proj,lein_evo_10x_baboon,Olive baboon (Papio anubis) motor cortex snRNA-seq,,,
U01 Lein,lein_evo_10x_proj,lein_evo_10x_cat,Domestic cat (Felis catus) motor cortex snRNA-seq,10x v3 snRNA-seq data from primary motor cortex of domestic cat (Felis catus),,
U01 Lein,lein_evo_10x_proj,lein_evo_10x_chimp,Chimpanzee (Pan troglodytes) motor cortex snRNA-seq,10x v3 snRNA-seq data from primary motor cortex of chimpanzee (Pan troglodytes),,
U01 Lein,lein_evo_10x_proj,lein_evo_10x_coyote,Coyote (Canis latrans) motor cortex snRNA-seq,,,
U01 Lein,lein_evo_10x_proj,lein_evo_10x_ferret,Ferret (Mustela putorius furo) motor cortex snRNA-seq,10x v3 snRNA-seq data from primary motor cortex of ferret (Mustela putorius furo),,
U01 Lein,lein_evo_10x_proj,lein_evo_10x_galago,Galago motor cortex snRNA-seq,10x v3 snRNA-seq data from primary motor cortex of Galgao (Otolemur garnettii),,
U01 Lein,lein_evo_10x_proj,lein_evo_10x_gorilla,Gorilla (Gorilla gorilla) motor cortex snRNA-seq,10x v3 snRNA-seq data from primary motor cortex of gorilla (Gorilla gorilla),,
U01 Lein,lein_evo_10x_proj,lein_evo_10x_greenmonkey,African green monkey (Chlorocebus sabaeus) motor cortex snRNA-seq,10x v3 snRNA-seq data from primary motor cortex of African green monkey (Chlorocebus sabaeus),,
U01 Lein,lein_evo_10x_proj,lein_evo_10x_nemestrina,Nemestrina macaque (Macaca nemestrina) motor cortex snRNA-seq,10x v3 snRNA-seq data from primary motor cortex of nemestrina macaque (Macaca nemestrina),,
U01 Lein,lein_evo_10x_proj,lein_evo_10x_opposum,Opossum (Monodelphis domestica) motor cortex snRNA-seq,10x v3 snRNA-seq data from primary motor cortex of opossum (Monodelphis domestica),,
U01 Lein,lein_evo_10x_proj,lein_evo_10x_owlmonkey,Owl monkey (Aotus nancymaae) motor cortex snRNA-seq,10x v3 snRNA-seq data from primary motor cortex of owl monkey (Aotus nancymaae),,
U01 Lein,lein_evo_10x_proj,lein_evo_10x_pig,Pig (Sus scrofa) motor cortex snRNA-seq,10x v3 snRNA-seq data from primary motor cortex of pig (Sus scrofa),,
U01 Lein,lein_evo_10x_proj,lein_evo_10x_rabbit,Rabbit (Oryctolagus cuniculus) motor cortex snRNA-seq,10x v3 snRNA-seq data from primary motor cortex of rabbit (Oryctolagus cuniculus),,
U01 Lein,lein_evo_10x_proj,lein_evo_10x_rat,Rat (Rattus norvegicus) motor cortex snRNA-seq,10x v3 snRNA-seq data from primary motor cortex of rat (Rattus norvegicus),,
U01 Lein,lein_evo_10x_proj,lein_evo_10x_rhesus,Rhesus macaque (Macaca mulatta) motor cortex snRNA-seq,10x v3 snRNA-seq data from primary motor cortex of rhesus macaque (Macaca mulatta),,
U01 Lein,lein_evo_10x_proj,lein_evo_10x_squirrel_monkey,Squirrel monkey (Saimiri sciureus) motor cortex snRNA-seq,,,
U01 Lein,lein_evo_10x_proj,lein_evo_10x_treeshrew,Tree shrew (Tupaia belangeri) motor cortex snRNA-seq,10x v3 snRNA-seq data from primary motor cortex of tree shrew (Tupaia belangeri),,
U01 Lein,lein_evo_Iso_Seq_proj,lein_evo_Iso_Seq_greenmonkey,African green monkey (Chlorocebus sabaeus) Iso-Seq,,,
U01 Lein,lein_evo_Iso_Seq_proj,lein_evo_Iso_Seq_armadillo,Armadillo (Dasypus novemcinctus) Iso-Seq,,,
U01 Lein,lein_evo_Iso_Seq_proj,lein_evo_Iso_Seq_arctic_ground_squirrel,Arctic ground squirrel (Urocitellus parryii) Iso-Seq,,,
U01 Lein,lein_evo_Iso_Seq_proj,lein_evo_Iso_Seq_nemestrina,Nemestrina macaque (Macaca nemestrina) Iso-Seq,,,
U01 Lein,lein_evo_Iso_Seq_proj,lein_evo_Iso_Seq_opossum,Opossum (Monodelphis domestica) Iso-Seq,,,
U01 Lein,lein_evo_Iso_Seq_proj,lein_evo_Iso_Seq_squirrel_monkey,Squirrel monkey (Saimiri boliviensis) Iso-Seq,,,
U01 Lein,lein_great_ape_mtg_RNA_proj,lein_great_ape_MTG_10x_chimpanzee,Chimpanzee (Pan troglodytes) middle temporal gyrus (MTG) snRNA-seq,,,
U01 Lein,lein_great_ape_mtg_RNA_proj,lein_great_ape_MTG_10x_gorilla,Gorilla (Gorilla gorilla) middle temporal gyrus (MTG) snRNA-seq,,,
U01 Lein,lein_great_ape_mtg_RNA_proj,lein_great_ape_MTG_10x_human,Human (Homo sapiens) middle temporal gyrus (MTG) snRNA-seq,,,
U01 Lein,lein_great_ape_mtg_RNA_proj,lein_great_ape_MTG_10x_marmoset,Common marmoset (Callithrix jacchus) middle temporal gyrus (MTG) snRNA-seq,,,
U01 Lein,lein_great_ape_mtg_RNA_proj,lein_great_ape_MTG_10x_rhesus,Rhesus macaque (Macaca mulatta) middle temporal gyrus (MTG) snRNA-seq,,,
U01 Lein,lein_great_ape_mtg_RNA_proj,lein_great_ape_MTG_SSv4_chimpanzee,Chimpanzee (Pan troglodytes) middle temporal gyrus (MTG) snRNA-seq,,,
U01 Lein,lein_great_ape_mtg_RNA_proj,lein_great_ape_MTG_SSv4_gorilla,Gorilla (Gorilla gorilla) middle temporal gyrus (MTG) snRNA-seq,,,
U01 Lein,lein_great_ape_mtg_RNA_proj,lein_great_ape_MTG_SSv4_human,Human (Homo sapiens) middle temporal gyrus (MTG) snRNA-seq,,,
U01 Lein,lein_human_pseq_proj,lein_human_pseq_e,Human neocortical patch-seq ephys,Electrophysiology data from Patch-seq experiments in human neocortex,,
U01 Lein,lein_human_pseq_proj,lein_human_pseq_m,Human neocortical patch-seq morphology,Morphology data from Patch-seq experiments in human neocortex,,
U01 Lein,lein_human_pseq_proj,lein_human_pseq_t,Human neocortical patch-seq transcriptomics,Transcriptomics data from Patch-seq experiments in human neocortex,,
U01 Lein,lein_L5_pseq_proj,lein_L5_pseq_m,Human Patchseq L5 Ephys,Physiology data from human cortex layer 5,,
U01 Lein,lein_L5_pseq_proj,lein_L5_pseq_e,Human Patchseq L5 Morpho,Morphology data from human cortex layer 5,,
U01 Lein,lein_L5_pseq_proj,lein_L5_pseq_t,Human Patchseq L5 RNAseq,Patch-seq data from human cortex layer 5,,
U01 Lein,lein_sn_SSv4_proj,lein_sn_SSv4,Transcriptomic characterization of cell types in human brain,Deep transcriptomic analysis of hippocampus and dorsolateral prefrontal cortex.,,
U01 Lein,lein_sn_10x,lein_sn_10xv2,Transcriptomic characterization of cell types in human brain,Broad transcriptomic survey of ~100 regions of adult postmortem human brain and spinal cord.,http://data.nemoarchive.org/biccn/grant/lein/linnarsson/transcriptome/sncell/10X/,
U01 Lein,lein_sn_10x,lein_sn_10xv3,Transcriptomic characterization of cell types in human brain,Broad transcriptomic survey of ~100 regions of adult postmortem human brain and spinal cord.,,
U01 Lein,lein_sn_hippocampus_proj,lein_sn_hippocampus,Transcriptomic cell type characterization in human hippocampus,,,
U01 Lein,mop_evo_tx_epi_pseq_proj,mop_evo_pseq_t,Cross-species Patchseq L5 physiology,Cross species physiology data from L5 pyramidal neurons in motor cortex,,
U01 Lein,mop_evo_tx_epi_pseq_proj,mop_evo_pseq_e,Cross-species Patchseq human L5 transcriptomics,Cross species transcriptomic data from L5 pyramidal neurons in human motor cortex,,
U01 Lein,mop_evo_tx_epi_pseq_proj,mop_evo_pseq_hu_t,Cross-species Patchseq L5 morphology,Cross species morphology data from L5 pyramidal neurons in motor cortex,,
U01 Lein,mop_evo_tx_epi_pseq_proj,mop_evo_pseq_m,Cross-species Patchseq L5 transcriptomics,Cross species transcriptomic data from L5 pyramidal neurons in motor cortex,,
U01 Macosko,macosko_bg_multiome_proj,macosko_bg_multiome_atac_macaque,10x Genomics Multiome ATAC of the primate basal ganglia,,,
U01 Macosko,macosko_bg_multiome_proj,macosko_bg_multiome_atac_human,10x Genomics Multiome ATAC of the human basal ganglia,,,
U01 Macosko,macosko_bg_multiome_proj,macosko_bg_multiome_gex_macaque,10x Genomics Multiome Gene Expression of the primate basal ganglia,,,
U01 Macosko,macosko_bg_multiome_proj,macosko_bg_multiome_gex_human,10x Genomics Multiome Gene Expression of the human basal ganglia,,,
U01 Macosko,macosko_bg_shareseq_proj,macosko_bg_shareseq_macaque,SHARE-seq of the primate basal ganglia,SHARE-seq of the macaque basal ganglia,,
U01 Macosko,macosko_bg_slideseq_proj,macosko_bg_slideseq_histologydataset_macaque,Histology images of the primate basal ganglia,Histology images of the macaque basal ganglia,,
U01 Macosko,macosko_bg_slideseq_proj,macosko_bg_slideseq_histologydataset_human,Histology images of the human basal ganglia,Histology images of the macaque basal ganglia,,
U01 Macosko,macosko_bg_slideseq_proj,macosko_bg_slideseq_macaque,Slide-seq of the primate basal ganglia,Slide-seq of the macaque basal ganglia,,
U01 Macosko,macosko_bg_slideseq_proj,macosko_bg_slideseq_human,Slide-seq of the human basal ganglia,Slide-seq of the macaque basal ganglia,,
U01 Macosko,macosko_bg_wgs_human_proj,macosko_bg_wgs_human,Whole genome sequencing of human brain tissue,,,
U01 Osten,osten_ls_proj,osten_ls,"Mapping  somato-dendritic morphologies of neurons in the neocortex, piriform cortex and the hippocampal formation",,,
U01 Osten,osten_stpt_proj,osten_stpt,Whole Brain Quantitative Cell-Type Atlasing in Adult Male and Female Mouse,Serial two photon tomography of brains of fluorescently labeled cell types.,http://download.brainimagelibrary.org/biccn/osten/cellcounting/,CCBY4
RF1 Roussos,roussos_multiome_proj,roussos_hu_multiome_atac,10x single nucleus Multiome ATAC of the human dentate gyrus,,,
RF1 Roussos,roussos_multiome_proj,roussos_hu_multiome_gex,10x single nucleus Multiome Gene Expression of the human dentate gyrus,,,
RF1 Roussos,roussos_multiome_proj,roussos_hu_multiome_seqfish,seqFISH+ of the human dentate gyrus,,,
U01 Sestan,sestan_sn_10x_proj,sestan_multiome_10x_human,Adult human single-nucleus multiome sequencing,,,
U01 Sestan,sestan_sn_10x_proj,sestan_multiome_10x_nhp,Adult non-human primate single-nucleus multiome sequencing,,,
U01 Sestan,sestan_sn_10x_proj,sestan_sn_10xv3_human,Adult Human single nucleus 10xv3 RNA sequencing,Single cell RNA-seq data from multiple brain regions of developing macaque brain.,,
U01 Sestan,sestan_sn_10x_proj,sestan_sn_10xv3_human_pfc,Adult Human single nucleus 10xv3 RNA sequencing,Single cell RNA-seq data from multiple brain regions of developing macaque brain.,,
U01 Sestan,sestan_sn_10x_proj,sestan_sn_10xv3_pig,Adult pig single nucleus 10xv3 RNA sequencing,,,
U01 Sestan,sestan_sn_10x_proj,sestan_sn_10xv3_nhp_adult,Adult Nonhuman Primate single nucleus 10xv3 RNA sequencing,Single nuclear RNA-seq data from multiple regions of human adult brain.,,
U01 Sestan,sestan_sn_10x_proj,sestan_sn_10xv3_nhp_adult_pfc,Adult Nonhuman Primate single nucleus 10xv3 RNA sequencing,Single nuclear RNA-seq data from multiple regions of human adult brain.,,
U01 Sestan,sestan_sn_10x_proj,sestan_sc_10xv2_nhp_dev,Developing Nonhuman Primate single cell 10xv2 RNA sequencing,,,
U01 Sestan,sestan_sn_10x_proj,sestan_sc_10xv3_nhp_dev,Developing Nonhuman Primate single cell 10xv3 RNA sequencing,Single nuclear RNA-seq data from multiple regions of NHP adult brain.,,
U01 Snyder-Mackler ,snyder-mackler_macaque_proj,snyder-mackler_macaque_scATAC,Single cell transcriptional and epigenomic atlas of the rhesus macaque brain,This dataset includes files from ATAC sequencing of sci-ATAC-seq3 data of the rhesus macaque brain,,
U01 Snyder-Mackler ,snyder-mackler_macaque_proj,snyder-mackler_macaque_scRNA,Single cell transcriptional and epigenomic atlas of the rhesus macaque brain,This dataset includes files from RNA sequencing of sci-RNA-seq3 data of the rhesus macaque brain,,
U01 Yang,yang_MORF_confocal_proj,yang_MORF_confocal,Dendritome mapping of genetically-defined and sparsely-labeled cortical and striatal projection neurons,"Imaging of mouse tissue labeled by Mosaicism with Repeat Frameshift (MORF), which enables sparsely and stochastically labeling of genetically-defined neurons in mice.",http://download.brainimagelibrary.org/biccn/yang/morf/confocal/,CCBY4
U01 Yang,yang_MORF_confocal_proj,yang_morf_cells,Reconstructions of MORF-labeled neurons,Reconstructions of MORF-labeled neurons.,,
U01 ZhangKun,zhangK_hs_dartfish_proj,zhangK_hs_dartfish,A DART-FISH atlas of the human brain,,,
U01 ZhangKun,zhangK_multiome_proj,zhangK_hu_multiome_atac,Multiome ATAC-seq data from Human Brain,,,
U01 ZhangKun,zhangK_multiome_proj,zhangK_hu_multiome_gex,Multiome RNA-seq data from Human Brain,,,
U01 ZhangKun,zhangK_snareseq,zhangK_cj_snareseq_R,High-throughput sequencing of the transcriptome and accessible chromatin in the same cells of the Primary Motor Cortex,"~10,000 dual-omic data sets generated from 2 different marmoset MOp samples provided by Guoping Feng's group.",,CCBY4
